iter	Logloss
0	0.6925368403
1	0.6918951998
2	0.6912220218
3	0.6905506322
4	0.6898472824
5	0.6891898819
6	0.6885586356
7	0.6879125635
8	0.6872922287
9	0.6866083956
10	0.6858605954
11	0.6853610311
12	0.6847969061
13	0.6842050759
14	0.6836527159
15	0.6830761918
16	0.6823980463
17	0.6817252987
18	0.6811094124
19	0.68043964
20	0.6799464749
21	0.6793663911
22	0.6787470491
23	0.6780450189
24	0.6773499093
25	0.6766694972
26	0.6760240286
27	0.6753892602
28	0.6748360743
29	0.6742032873
30	0.6736040382
31	0.6729707868
32	0.6723215763
33	0.6716430933
34	0.6710195494
35	0.6704660218
36	0.6700949081
37	0.6694423855
38	0.6688626744
39	0.6683195116
40	0.6677321691
41	0.6671175599
42	0.6665171934
43	0.6657333901
44	0.6650312769
45	0.6644292641
46	0.663887685
47	0.6632898063
48	0.66271037
49	0.6620074473
50	0.6613517484
51	0.6607989434
52	0.6602551868
53	0.6596355764
54	0.6589799016
55	0.6584521678
56	0.657950601
57	0.6572776153
58	0.6566958103
59	0.6561196298
60	0.6555592671
61	0.6548207189
62	0.6541638219
63	0.65362956
64	0.6530441704
65	0.6524050811
66	0.6518443224
67	0.6512784834
68	0.6506764322
69	0.6503341676
70	0.6497939607
71	0.6492802762
72	0.6487393166
73	0.6481969473
74	0.6475662672
75	0.6470143601
76	0.6463061745
77	0.6457389248
78	0.6452233161
79	0.6447255783
80	0.6442695274
81	0.6437316106
82	0.6431872112
83	0.6425632631
84	0.6420308242
85	0.6413923955
86	0.6409209805
87	0.6405016154
88	0.6399674893
89	0.6394519554
90	0.6388454935
91	0.6382167673
92	0.6376587284
93	0.6371194093
94	0.6365831392
95	0.6359629736
96	0.6353759816
97	0.6347675087
98	0.6342965404
99	0.6337267035
100	0.6332313652
101	0.6326925809
102	0.6322182107
103	0.6317520988
104	0.6313974111
105	0.6308263243
106	0.6303174903
107	0.6298389024
108	0.6293076387
109	0.6288063965
110	0.6282852703
111	0.6277839307
112	0.6272469957
113	0.6267549881
114	0.626257032
115	0.6256955406
116	0.6252139584
117	0.6246391884
118	0.6241694677
119	0.6235024635
120	0.6229062575
121	0.6223638529
122	0.6218306786
123	0.6213028208
124	0.6207685525
125	0.6202001292
126	0.6197732639
127	0.6193124845
128	0.618925634
129	0.6183592332
130	0.6179212633
131	0.6174447122
132	0.6169007865
133	0.6163614986
134	0.6158244296
135	0.6153462777
136	0.6148945688
137	0.6143715461
138	0.6139397104
139	0.6134089835
140	0.6128908592
141	0.6124325984
142	0.6120504205
143	0.6114482562
144	0.6109937511
145	0.6104387732
146	0.6099992548
147	0.609592364
148	0.609123185
