iter	Passed	Remaining
0	52	37044
1	54	19025
2	56	13036
3	57	10054
4	59	8253
5	60	7038
6	62	6212
7	64	5608
8	66	5102
9	67	4686
10	69	4351
11	71	4084
12	72	3847
13	74	3646
14	75	3437
15	76	3281
16	78	3166
17	80	3050
18	82	2941
19	83	2831
20	84	2739
21	85	2646
22	87	2565
23	88	2502
24	90	2440
25	92	2390
26	93	2335
27	95	2283
28	96	2237
29	98	2197
30	99	2155
31	101	2116
32	102	2080
33	104	2047
34	106	2017
35	107	1990
36	108	1947
37	110	1919
38	111	1896
39	113	1872
40	115	1850
41	116	1826
42	117	1798
43	119	1775
44	121	1761
45	123	1752
46	124	1728
47	125	1708
48	127	1691
49	128	1675
50	130	1659
51	131	1643
52	133	1627
53	134	1611
54	136	1600
55	138	1588
56	139	1573
57	140	1559
58	142	1546
59	143	1535
60	145	1523
61	146	1510
62	148	1498
63	149	1486
64	151	1478
65	152	1468
66	154	1457
67	155	1445
68	156	1434
69	157	1417
70	158	1406
71	160	1397
72	161	1387
73	162	1377
74	164	1369
75	165	1360
76	167	1351
77	168	1343
78	169	1333
79	170	1320
80	171	1311
81	172	1299
82	173	1292
83	175	1287
84	177	1281
85	178	1274
86	180	1272
87	181	1265
88	183	1258
89	184	1248
90	185	1241
91	186	1234
92	188	1227
93	189	1221
94	190	1214
95	192	1209
96	193	1204
97	195	1198
98	195	1189
99	197	1183
100	198	1177
101	199	1171
102	201	1166
103	202	1160
104	203	1152
105	204	1147
106	206	1142
107	207	1139
108	209	1135
109	210	1130
110	211	1124
111	213	1119
112	214	1114
113	216	1110
114	217	1105
115	218	1100
116	219	1095
117	221	1090
118	222	1087
119	224	1084
120	225	1079
121	226	1074
122	228	1070
123	229	1066
124	230	1060
125	232	1057
126	232	1051
127	234	1047
128	235	1042
129	237	1039
130	238	1036
131	240	1033
132	241	1029
133	242	1025
134	244	1021
135	245	1018
136	246	1014
137	248	1009
138	249	1006
139	250	1003
140	252	1000
141	253	996
142	255	993
143	256	990
144	257	987
145	259	983
146	260	980
147	261	975
148	263	974
149	264	970
150	266	969
151	267	965
152	269	962
153	270	959
154	271	955
155	273	952
156	274	949
157	275	946
158	277	944
159	278	941
160	280	939
161	281	935
162	283	932
163	284	929
164	285	926
165	286	921
166	287	918
167	289	915
168	290	912
169	291	910
170	293	907
171	294	905
172	296	902
173	297	899
174	298	895
175	299	892
176	301	889
177	302	886
178	303	884
179	305	881
180	306	878
181	307	876
182	309	873
183	310	871
184	312	869
185	313	866
186	314	863
187	316	860
188	317	858
189	319	857
190	320	854
191	322	852
192	323	849
193	324	847
194	326	845
195	327	843
196	329	841
197	330	837
198	331	835
199	333	832
200	334	830
201	335	826
202	336	824
203	338	822
204	339	819
205	340	817
206	342	814
207	343	812
208	344	810
209	346	807
210	347	805
211	348	802
212	349	799
213	351	797
214	352	796
215	354	793
216	355	791
217	356	789
218	358	786
219	359	784
220	361	782
221	362	780
222	363	777
223	364	775
224	366	773
225	367	770
226	369	769
227	370	766
228	371	763
229	372	760
230	373	758
231	374	755
232	376	753
233	377	751
234	378	749
235	379	746
236	381	744
237	382	742
238	384	741
239	385	739
240	386	736
241	388	734
242	389	732
243	390	730
244	392	728
245	393	725
246	394	723
247	395	721
248	397	719
249	398	717
250	399	715
251	401	713
252	402	711
253	404	709
254	405	707
255	406	704
256	407	702
257	408	699
258	409	697
259	411	695
260	412	693
261	413	691
262	414	688
263	415	686
264	416	684
265	418	682
266	419	680
267	420	678
268	422	676
269	423	674
270	424	672
271	426	671
272	427	668
273	428	666
274	430	664
275	431	662
276	432	660
277	433	658
278	435	656
279	436	654
280	437	652
281	438	649
282	439	648
283	441	647
284	443	645
285	444	643
286	446	641
287	447	639
288	448	637
289	449	635
290	451	633
291	452	632
292	453	630
293	454	628
294	456	626
295	457	624
296	459	623
297	460	620
298	461	618
299	462	617
300	464	615
301	465	613
302	466	611
303	468	609
304	469	608
305	471	606
306	472	605
307	474	603
308	475	601
309	476	599
310	477	597
311	478	595
312	480	593
313	481	591
314	482	589
315	483	587
316	485	585
317	487	585
318	488	583
319	489	581
320	491	580
321	492	578
322	493	576
323	495	574
324	496	572
325	497	570
326	498	568
327	499	567
328	501	565
329	502	563
330	503	561
331	504	559
332	506	557
333	507	556
334	509	554
335	510	553
336	511	551
337	513	549
338	514	547
339	516	546
340	517	544
341	518	542
342	519	541
343	521	539
344	521	537
345	522	535
346	524	533
347	525	531
348	526	529
349	528	528
350	529	526
351	531	525
352	532	523
353	534	522
354	535	520
355	536	518
356	538	516
357	538	514
358	540	513
359	541	511
360	542	509
361	544	508
362	545	506
363	547	504
364	548	503
365	549	501
366	550	499
367	552	498
368	553	496
369	554	494
370	556	493
371	557	491
372	559	490
373	560	488
374	561	486
375	563	485
376	564	483
377	566	482
378	567	480
379	568	479
380	570	477
381	571	475
382	573	474
383	574	472
384	576	471
385	577	469
386	578	468
387	580	466
388	581	464
389	582	463
390	584	461
391	585	459
392	586	458
393	587	456
394	589	455
395	591	454
396	592	452
397	594	450
398	595	449
399	596	447
400	598	445
401	599	444
402	600	442
403	602	441
404	603	439
405	605	438
406	606	436
407	608	435
408	609	433
409	610	432
410	612	430
411	613	428
412	614	427
413	616	425
414	617	424
415	618	422
416	620	421
417	621	419
418	624	419
419	626	417
420	627	416
421	629	414
422	630	412
423	631	411
424	633	409
425	634	408
426	635	406
427	636	404
428	638	403
429	639	401
430	640	400
431	642	398
432	643	396
433	644	395
434	645	393
435	647	391
436	648	390
437	650	388
438	651	387
439	652	385
440	653	383
441	655	382
442	656	381
443	658	379
444	659	377
445	660	376
446	662	374
447	663	373
448	665	372
449	666	370
450	668	368
451	669	367
452	670	365
453	672	364
454	673	362
455	674	361
456	676	359
457	677	357
458	679	356
459	680	355
460	682	353
461	683	352
462	684	350
463	686	348
464	687	347
465	688	345
466	690	344
467	691	342
468	692	341
469	694	339
470	695	338
471	696	336
472	698	335
473	699	333
474	700	331
475	701	330
476	703	328
477	704	327
478	705	325
479	706	323
480	708	322
481	709	320
482	710	319
483	712	317
484	713	316
485	715	314
486	715	313
487	717	311
488	718	310
489	719	308
490	721	307
491	722	305
492	724	304
493	725	302
494	726	300
495	728	299
496	729	298
497	730	296
498	731	294
499	732	293
500	734	291
501	735	289
